dspKey,measureId,statTime,shows,clicks,requests,responses,wins,cid,adType,costs
plista,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,0,0,54856,0,0,27,1,0
360dsp-add,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,537,30,32443,792,566,36,117,2.685
anx-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,4087,45,1959000,46226,45582,5,3,48.66976
ipinyou-pd,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,976,104,230510,2642,1618,29,108,20.496
chuanshanjiapd,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,3033,299,330498,19423,7103,29,118,115.254
youtou-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 15,6265,29,358189,18471,7655,27,5,31.325
zhengshu-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,1,0,137245,0,0,5,3,0.00501
meishu,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,3436,45,1959017,258321,38838,5,3,17.18
chuanshanjia,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,5258,380,137250,51043,9281,27,1,80.86546
xunfei-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,2636,33,1959000,97879,28713,5,3,13.64936
qidian,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,0,0,115597,0,0,5,3,0
tianjinkuaiyou-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,9,0,211963,301,76,5,3,0.06909
zhengshu-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,2161,134,154044,19571,3539,27,1,36.8118
chuanshanjia,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,4819,329,325934,66122,12568,29,118,67.55901
jiatou-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,78150,392,2248141,320603,110371,5,5,167.9945
anx-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,0,0,133522,0,0,5,5,0
hongtu-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,2641,215,60114,9690,3155,36,116,13.24691
xunfei-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,2646,34,2162077,92339,29530,5,3,13.71156
youdao,5a3282dee4b0ac3f73f4cd4c,2020-11-06 15,2,0,89441,0,0,27,5,0.01
zhengshu-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,1,0,100683,0,0,5,3,0.00501
360dsp-add,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,195,4,16203,270,250,33,96,0.975
meishu,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,12,0,134662,49,17,5,5,0.06
